report.response,report.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audio,participant,sex,age,years musical experience,date,expName,psychopyVersion,OS,frameRate,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
1,2.7239,0,0,0,1,1,yl2.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1,1.4137,0,1,1,4,1,yl5.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.96979173,2.6658,0,2,2,7,1,yl8.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1,2.4748,0,3,3,5,1,yl6.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1,1.503,0,4,4,0,1,yl1.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.991666635,2.1279,0,5,5,8,1,yl9.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.991666635,1.403,0,6,6,10,1,yl11.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.991666635,1.3527,0,7,7,9,1,yl10.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.005208333,2.7126,0,8,8,2,1,yl3.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.005208333,1.4027,0,9,9,3,1,yl4.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
2,2.0696,0,10,10,6,1,yl7.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
2,1.4731,1,0,11,6,1,yl7.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
2,1.342,1,1,12,10,1,yl11.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.043750008,2.1792,1,2,13,1,1,yl2.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.043750008,1.4303,1,3,14,3,1,yl4.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.994791667,2.3585,1,4,15,9,1,yl10.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1,2.0695,1,5,16,5,1,yl6.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.970833302,2.3677,1,6,17,7,1,yl8.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1,2.2241,1,7,18,0,1,yl1.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1,1.3858,1,8,19,4,1,yl5.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1,1.2962,1,9,20,2,1,yl3.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
2,2.4025,1,10,21,8,1,yl9.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
,,,,,,,,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,0,0,0,0,1
1.003124992,3.3878,0,0,0,3,1,yl4.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.003124992,1.4859,0,1,1,1,1,yl2.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
2,2.2872,0,2,2,7,1,yl8.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.033333341,2.2386,0,3,3,2,1,yl3.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.033333341,1.7594,0,4,4,0,1,yl1.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.033333341,1.461,0,5,5,5,1,yl6.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.991666635,2.0219,0,6,6,8,1,yl9.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.991666635,2.0021,0,7,7,6,1,yl7.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.025000016,2.2534,0,8,8,4,1,yl5.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.979166667,2.3007,0,9,9,10,1,yl11.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.979166667,1.3299,0,10,10,9,1,yl10.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.979166667,1.2585,1,0,11,8,1,yl9.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1,2.2198,1,1,12,1,1,yl2.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1,1.3349,1,2,13,0,1,yl1.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.956250032,2.292,1,3,14,6,1,yl7.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1,2.3014,1,4,15,5,1,yl6.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.988541762,2.6661,1,5,16,7,1,yl8.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.026041667,2.2758,1,6,17,2,1,yl3.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
2,1.8851,1,7,18,9,1,yl10.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
2,2.6367,1,8,19,10,1,yl11.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.021875024,2.2194,1,9,20,4,1,yl5.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.021875024,1.5042,1,10,21,3,1,yl4.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
,,,,,,,,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,1,0,1,0,1
1.995833397,2.3945,0,0,0,6,1,yl7.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.039583325,2.2381,0,1,1,1,1,yl2.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.039583325,1.3854,0,2,2,3,1,yl4.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.951041698,2.285,0,3,3,7,1,yl8.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.951041698,1.5703,0,4,4,8,1,yl9.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.951041698,1.4866,0,5,5,10,1,yl11.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.011458357,2.2693,0,6,6,4,1,yl5.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
1.011458357,1.5251,0,7,7,0,1,yl1.wav,1701,f,20,0,2021-10-22_21h42.51.013,yanny-laurel,2021.2.3,Win32,60.98676587,,,,,
