report.response,report.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audio,participant,sex,age,years musical experience,date,expName,psychopyVersion,OS,frameRate,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
2,2.2349,0,0,0,6,1,yl7.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.005718316,1.9233,0,1,1,0,1,yl1.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.997477214,1.8097,0,2,2,9,1,yl10.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1,1.5088,0,3,3,2,1,yl3.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
2,1.6742,0,4,4,10,1,yl11.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
2,1.2924,0,5,5,7,1,yl8.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
2,1.1422,0,6,6,8,1,yl9.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.019156901,1.6599,0,7,7,1,1,yl2.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.019156901,1.1751,0,8,8,5,1,yl6.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.019156901,1.1123,0,9,9,3,1,yl4.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.019156901,1.0933,0,10,10,4,1,yl5.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.974343533,1.5246,1,0,11,6,1,yl7.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1,1.5453,1,1,12,3,1,yl4.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1,1.0783,1,2,13,4,1,yl5.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1,1.1268,1,3,14,5,1,yl6.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1,1.1099,1,4,15,1,1,yl2.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
2,1.5242,1,5,16,8,1,yl9.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
2,1.1411,1,6,17,7,1,yl8.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
2,0.9908,1,7,18,9,1,yl10.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
2,1.2665,1,8,19,10,1,yl11.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.009727648,1.5074,1,9,20,0,1,yl1.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.009727648,1.1258,1,10,21,2,1,yl3.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
,,,,,,,,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,0,0,0,0,1
1.009727648,1.2119,0,0,0,4,1,yl5.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.009727648,1.2095,0,1,1,2,1,yl3.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
2,1.5252,0,2,2,9,1,yl10.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
2,1.1078,0,3,3,8,1,yl9.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
2,1.0159,0,4,4,10,1,yl11.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1,1.6912,0,5,5,5,1,yl6.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1,1.3267,0,6,6,1,1,yl2.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.978412543,1.5323,0,7,7,7,1,yl8.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.978412543,1.0931,0,8,8,6,1,yl7.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.01000434,1.6417,0,9,9,3,1,yl4.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.01000434,1.127,0,10,10,0,1,yl1.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.01000434,1.2752,1,0,11,5,1,yl6.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
1.01000434,1.1935,1,1,12,2,1,yl3.wav,2,f,28,7,2021-10-21_11h53.02.589,yanny-laurel,2021.2.3,MacIntel,60.0024001,,,,,
