report.response,report.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audio,participant,sex,age,years musical experience,date,expName,psychopyVersion,OS,frameRate,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
1.005208333,2.5805,0,0,0,0,1,yl1.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1.010416667,2.2558,0,1,1,8,1,yl9.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1.0125,2.8993,0,2,2,4,1,yl5.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1.017708333,1.964,0,3,3,3,1,yl4.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1.014583333,1.3656,0,4,4,1,1,yl2.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1,1.4977,0,5,5,2,1,yl3.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1.011458333,1.7317,0,6,6,6,1,yl7.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1.014583333,1.3657,0,7,7,9,1,yl10.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1.010416667,1.6986,0,8,8,10,1,yl11.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1,1.9649,0,9,9,5,1,yl6.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
2,1.3484,0,10,10,7,1,yl8.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1,1.9321,1,0,11,10,1,yl11.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1,2.082,1,1,12,7,1,yl8.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1.005208333,1.5323,1,2,13,9,1,yl10.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1,1.6846,1,3,14,2,1,yl3.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
2,1.5296,1,4,15,6,1,yl7.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1.011458333,1.8814,1,5,16,3,1,yl4.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1.010416667,1.5818,1,6,17,4,1,yl5.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1.996875,2.4323,1,7,18,8,1,yl9.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1.003125,2.0991,1,8,19,5,1,yl6.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1,1.4495,1,9,20,1,1,yl2.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
1,1.5398,1,10,21,0,1,yl1.wav,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,,,,,
,,,,,,,,001,f,28,7,2021-10-18_15h13.29.420,yanny-laurel,2021.2.3,Win32,60.24459305,0,0,0,0,1
