report.response,report.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audio,participant,sex,age,years musical experience,date,expName,psychopyVersion,OS,frameRate,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
1.009375016,4.4337,0,0,0,0,1,yl1.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.975000064,1.9054,0,1,1,4,1,yl5.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
2,1.7882,0,2,2,5,1,yl6.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.984375,1.6358,0,3,3,3,1,yl4.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.982291698,1.464,0,4,4,6,1,yl7.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.998958429,1.5411,0,5,5,9,1,yl10.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.986458302,1.4264,0,6,6,10,1,yl11.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.957291762,1.657,0,7,7,7,1,yl8.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
2,1.8646,0,8,8,8,1,yl9.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.019791683,1.7921,0,9,9,2,1,yl3.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.036458333,1.5861,0,10,10,1,1,yl2.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.016666691,1.4371,1,0,11,4,1,yl5.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.010416667,1.5031,1,1,12,3,1,yl4.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1,1.4118,1,2,13,1,1,yl2.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.018749992,1.4412,1,3,14,2,1,yl3.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.989583333,2.0608,1,4,15,5,1,yl6.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
2,1.6941,1,5,16,6,1,yl7.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
2,2.0342,1,6,17,9,1,yl10.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.970833302,1.5845,1,7,18,7,1,yl8.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.026041667,1.6847,1,8,19,0,1,yl1.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.961458365,1.953,1,9,20,8,1,yl9.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
2,1.7574,1,10,21,10,1,yl11.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
,,,,,,,,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,0,0,0,0,1
2,2.1976,0,0,0,7,1,yl8.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.984375,1.5049,0,1,1,10,1,yl11.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.002083341,2.0302,0,2,2,0,1,yl1.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.982291698,1.8845,0,3,3,6,1,yl7.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1,2.025,0,4,4,2,1,yl3.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.990625064,1.7032,0,5,5,8,1,yl9.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.030208349,1.844,0,6,6,1,1,yl2.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.987500032,1.7491,0,7,7,4,1,yl5.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
2,1.6515,0,8,8,5,1,yl6.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
2,1.4283,0,9,9,3,1,yl4.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
2,1.8953,0,10,10,9,1,yl10.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
2,1.4627,1,0,11,5,1,yl6.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.980208397,1.541,1,1,12,8,1,yl9.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
1.002083341,1.5962,1,2,13,1,1,yl2.wav,1412,m,19,1,2021-10-22_10h57.26.920,yanny-laurel,2021.2.3,Win32,59.99880002,,,,,
