report.response,report.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audio,participant,sex,age,years musical experience,date,expName,psychopyVersion,OS,frameRate,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
2,2.301,0,0,0,5,1,yl6.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.91,0,1,1,2,1,yl3.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.679,0,2,2,4,1,yl5.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.896,0,3,3,6,1,yl7.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.041666667,2.179,0,4,4,0,1,yl1.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.969444444,2.016,0,5,5,9,1,yl10.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.726,0,6,6,8,1,yl9.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.776,0,7,7,7,1,yl8.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.595,0,8,8,10,1,yl11.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.020833333,2.194,0,9,9,3,1,yl4.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.013888889,1.893,0,10,10,1,1,yl2.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.013888889,1.63,1,0,11,1,1,yl2.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.013888889,1.563,1,1,12,3,1,yl4.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.013888889,1.578,1,2,13,2,1,yl3.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,2.195,1,3,14,7,1,yl8.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.479,1,4,15,5,1,yl6.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.005555556,1.977,1,5,16,0,1,yl1.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.93,1,6,17,8,1,yl9.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.793,1,7,18,10,1,yl11.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.378,1,8,19,6,1,yl7.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.709,1,9,20,9,1,yl10.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1,2.794,1,10,21,4,1,yl5.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
,,,,,,,,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,0,0,0,0,1
1.956944444,1.863,0,0,0,5,1,yl6.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.977777778,1.712,0,1,1,3,1,yl4.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.977777778,1.548,0,2,2,1,1,yl2.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.977777778,1.497,0,3,3,8,1,yl9.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.05,2.148,0,4,4,0,1,yl1.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.993,0,5,5,2,1,yl3.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.412,0,6,6,9,1,yl10.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.46,0,7,7,10,1,yl11.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.776,0,8,8,6,1,yl7.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.63,0,9,9,7,1,yl8.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.0375,2.363,0,10,10,4,1,yl5.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,2.177,1,0,11,5,1,yl6.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.011111111,2.193,1,1,12,2,1,yl3.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,2.05,1,2,13,3,1,yl4.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.963888889,1.877,1,3,14,1,1,yl2.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.963888889,1.312,1,4,15,6,1,yl7.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.963888889,1.429,1,5,16,9,1,yl10.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.963888889,1.26,1,6,17,7,1,yl8.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.008333333,2.677,1,7,18,4,1,yl5.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1,1.825,1,8,19,0,1,yl1.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.968055556,1.875,1,9,20,8,1,yl9.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.968055556,1.411,1,10,21,10,1,yl11.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
,,,,,,,,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,1,0,1,0,1
1.004166667,2.031,0,0,0,4,1,yl5.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.973611111,1.793,0,1,1,7,1,yl8.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.008333333,1.98,0,2,2,3,1,yl4.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.045833333,1.576,0,3,3,0,1,yl1.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.973611111,1.678,0,4,4,9,1,yl10.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1,1.842,0,5,5,2,1,yl3.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.843,0,6,6,5,1,yl6.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,2.343,0,7,7,10,1,yl11.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.444,0,8,8,8,1,yl9.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.011111111,1.761,0,9,9,1,1,yl2.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.975,2.177,0,10,10,6,1,yl7.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.975,1.48,1,0,11,9,1,yl10.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.043055556,2.377,1,1,12,4,1,yl5.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.9875,2.112,1,2,13,10,1,yl11.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.9875,1.311,1,3,14,8,1,yl9.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.013888889,1.945,1,4,15,3,1,yl4.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1,2.031,1,5,16,2,1,yl3.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.009722222,1.394,1,6,17,0,1,yl1.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,1.697,1,7,18,6,1,yl7.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.975,2.128,1,8,19,7,1,yl8.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
1.0125,1.916,1,9,20,1,1,yl2.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
2,2.095,1,10,21,5,1,yl6.wav,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,,,,,
,,,,,,,,001,m,26,4,2021-10-22_21h36.41.762,yanny-laurel,2021.2.3,MacIntel,60.38647343,2,0,2,0,1
