report.response,report.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audio,participant,sex,age,years musical experience,date,expName,psychopyVersion,OS,frameRate,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
1,2.2557,1,4,15,3,1,yl4.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
2,2.2692,1,5,16,10,1,yl11.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.020833333,2.4295,1,6,17,5,1,yl6.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.020833333,1.5686,1,7,18,4,1,yl5.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.020833333,1.4318,1,8,19,0,1,yl1.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.020833333,1.4244,1,9,20,1,1,yl2.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
2,2.4521,1,10,21,8,1,yl9.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
,,,,,,,,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,1,0,1,0,1
1,2.26,0,0,0,1,1,yl2.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
2,2.1727,0,1,1,6,1,yl7.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1,2.2407,0,2,2,2,1,yl3.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1,1.353,0,3,3,4,1,yl5.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
2,2.2358,0,4,4,7,1,yl8.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.011458357,2.1497,0,5,5,3,1,yl4.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.011458357,1.511,0,6,6,5,1,yl6.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.988541762,2.3626,0,7,7,10,1,yl11.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.988541762,1.6043,0,8,8,9,1,yl10.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1,3.4945,0,9,9,0,1,yl1.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
2,2.2046,0,10,10,8,1,yl9.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.039583325,2.2195,1,0,11,4,1,yl5.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
