report.response,report.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audio,participant,sex,age,years musical experience,date,expName,psychopyVersion,OS,frameRate
1.851041635,26.5892,0,0,0,5,1,yl6.wav,1701,f,20,0,2021-10-22_21h02.04.694,yanny-laurel,2021.2.3,Win32,60.12506013
1.817708333,2.2689,0,1,1,8,1,yl9.wav,1701,f,20,0,2021-10-22_21h02.04.694,yanny-laurel,2021.2.3,Win32,60.12506013
